rule_id,severity,database,table,summary,affected_rows,affected_symbols,recommendation
R008-mef-coverage,critical,masd,masd.fmp_stocks_analyst_grades,FMP analyst grades: 21/305 MEF stocks (6.9%),,284,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,masd,masd.fmp_stocks_price_targets_1d,FMP price targets: 22/305 MEF stocks (7.2%),,283,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,masd,masd.marketaux_news_entity_sentiment,Marketaux entity sentiment: 37/305 MEF stocks (12.1%),,268,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,shdb,shdb.analyst_grades,Curated analyst grades: 21/305 MEF stocks (6.9%),,284,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,shdb,shdb.analyst_price_targets_1d,Curated price targets: 22/305 MEF stocks (7.2%),,283,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R007-deprecated-tables,warning,fs,masd.finnhub_news_article_symbols,1 reference(s) to deprecated masd.finnhub_news_article_symbols in 1 file(s),1,,"Migrate live code/SQL consumers to news_av_ticker_sentiment. Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,fs,masd.finnhub_news_articles,1 reference(s) to deprecated masd.finnhub_news_articles in 1 file(s),1,,"Migrate live code/SQL consumers to alphavantage_news_sentiment_1d / news_av_ticker_sentiment. Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,fs,masd.finnhub_stocks_insider_mspr_1m,8 reference(s) to deprecated masd.finnhub_stocks_insider_mspr_1m in 5 file(s),8,,"Migrate live code/SQL consumers to insider_conviction_signals. Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,fs,masd.finnhub_stocks_insider_txn,1 reference(s) to deprecated masd.finnhub_stocks_insider_txn in 1 file(s),1,,"Migrate live code/SQL consumers to fmp_stocks_insider_trades / sec_edgar_filing_events (Form 4). Comment-only hits (READMEs, notes, this audit) are not action items."
R007-deprecated-tables,warning,fs,shdb.insider_activity_signals,40 reference(s) to deprecated shdb.insider_activity_signals in 21 file(s),40,,"Migrate live code/SQL consumers to shdb.insider_conviction_signals. Comment-only hits (READMEs, notes, this audit) are not action items."
