rule_id,severity,database,table,summary,affected_rows,affected_symbols,recommendation
R008-mef-coverage,critical,masd,masd.finnhub_news_article_symbols,Finnhub news per-symbol: 19/305 MEF stocks (6.2%),,286,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,masd,masd.fmp_stocks_analyst_grades,FMP analyst grades: 21/305 MEF stocks (6.9%),,284,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,masd,masd.fmp_stocks_price_targets_1d,FMP price targets: 22/305 MEF stocks (7.2%),,283,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,masd,masd.marketaux_news_entity_sentiment,Marketaux entity sentiment: 37/305 MEF stocks (12.1%),,268,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R003-missing-symbols,critical,masd,masd.secapi_regulatory_penalties,128/130 (98.5%) rows with missing symbol,128,,"Investigate whether company_name / CIK / URL fields in the source can be resolved to a ticker (via dim_security or symbol_master) and add a resolution step in MDC or UDC. Until then, mark such rows as unmapped rather than silently surfacing them as actionable."
R008-mef-coverage,critical,shdb,shdb.analyst_grades,Curated analyst grades: 21/305 MEF stocks (6.9%),,284,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R008-mef-coverage,critical,shdb,shdb.analyst_price_targets_1d,Curated price targets: 22/305 MEF stocks (7.2%),,283,Broad sources falling below 50% coverage indicate ingestion or symbol-mapping issues. Compare MASD source row counts to SHDB curated row counts to localise the bottleneck (R009 also covers analyst-grades / price-targets explicitly).
R003-missing-symbols,critical,shdb,shdb.sec_penalties,43/43 (100.0%) rows with missing symbol,43,,"Investigate whether company_name / CIK / URL fields in the source can be resolved to a ticker (via dim_security or symbol_master) and add a resolution step in MDC or UDC. Until then, mark such rows as unmapped rather than silently surfacing them as actionable."
R006-staleness,critical,shdb,shdb.stock_short_interest,shdb.stock_short_interest stale: max(settlement_date)=2026-02-27 (65d ago),504559,,"Check the upstream collector/ingest cron and whether the source API is still returning data. Some streams (Finnhub MSPR, free-tier APIs) may have expired entitlements rather than pipeline bugs."
R007-deprecated-tables,warning,fs,shdb.insider_activity_signals,40 reference(s) to deprecated shdb.insider_activity_signals in 21 file(s),40,,"Migrate live code/SQL consumers to shdb.insider_conviction_signals. Comment-only hits (READMEs, notes, this audit) are not action items."
R006-staleness,warning,masd,masd.finnhub_stocks_insider_mspr_1m,masd.finnhub_stocks_insider_mspr_1m stale: max(year+month)=2026-02-01 (91d ago),3796,,"Check the upstream collector/ingest cron and whether the source API is still returning data. Some streams (Finnhub MSPR, free-tier APIs) may have expired entitlements rather than pipeline bugs."
R003-missing-symbols,warning,masd,masd.sec_edgar_filing_events,"110,218/154,112 (71.5%) rows with missing ticker_derived",110218,,"Investigate whether company_name / CIK / URL fields in the source can be resolved to a ticker (via dim_security or symbol_master) and add a resolution step in MDC or UDC. Until then, mark such rows as unmapped rather than silently surfacing them as actionable."
R003-missing-symbols,warning,masd,masd.secapi_regulatory_enforcement,525/597 (87.9%) rows with missing symbol,525,,"Investigate whether company_name / CIK / URL fields in the source can be resolved to a ticker (via dim_security or symbol_master) and add a resolution step in MDC or UDC. Until then, mark such rows as unmapped rather than silently surfacing them as actionable."
R009-thin-coverage,warning,shdb,shdb.analyst_grades,analyst-grades: thin coverage — MASD 23 sym / SHDB 23 sym,,282,"Determine whether this is a source limitation (API plan, free-tier cap), a symbol-mapping issue (curation step rejects rows that don't resolve to symbol_master), or a date-window issue (refresh cadence too tight). If source-limited: document and exclude from hard gates until fixed."
R009-thin-coverage,warning,shdb,shdb.analyst_price_targets_1d,analyst-price-targets: thin coverage — MASD 24 sym / SHDB 24 sym,,281,"Determine whether this is a source limitation (API plan, free-tier cap), a symbol-mapping issue (curation step rejects rows that don't resolve to symbol_master), or a date-window issue (refresh cadence too tight). If source-limited: document and exclude from hard gates until fixed."
R007-deprecated-tables,warning,shdb,shdb.insider_activity_signals,"Deprecated table shdb.insider_activity_signals still present (24,562 rows)",24562,,Do not consume this table from new pipelines. Migrate any existing consumers to shdb.insider_conviction_signals. Optionally add a DB COMMENT marking the table deprecated so anyone inspecting the schema sees the warning.
R006-staleness,warning,shdb,shdb.insider_mspr_signals,shdb.insider_mspr_signals stale: max(bar_date)=2026-02-01 (91d ago),3742,,"Check the upstream collector/ingest cron and whether the source API is still returning data. Some streams (Finnhub MSPR, free-tier APIs) may have expired entitlements rather than pipeline bugs."
